1	how	how	WRB	_	5	advmod	_	_	_
2	are	be	VBP	_	5	auxpass	_	_	_
3	glacier	glacier	NN	p2=JJR	4	nn	_	_	_
4	caves	cave	NNS	_	5	nsubjpass	_	_	_
5	formed	form	VBN	_	0	root	_	_	_
6	?	?	.	_	5	punct	_	_	_

1	A	a	DT	_	3	det	_	_	O
2	glacier	glacier	NN	_	3	compound	_	_	O
3	cave	cave	NN	_	4	nsubj	_	_	O
4	is	be	VBZ	_	0	root	_	_	O
5	a	a	DT	_	6	det	_	_	O
6	cave	cave	NN	_	4	attr	_	_	O
7	formed	form	VBN	_	6	acl	_	_	O
8	within	within	IN	_	7	prep	_	_	B-ANS
9	the	the	DT	_	10	det	_	_	I-ANS
10	ice	ice	NN	_	8	pobj	_	_	I-ANS
11	of	of	IN	_	10	prep	_	_	I-ANS
12	a	a	DT	_	13	det	_	_	I-ANS
13	glacier	glacier	NN	_	11	pobj	_	_	L-ANS
14	.	.	.	_	4	punct	_	_	O

1	how	how	WRB	_	2	advmod	_	_	_
2	much	much	JJ	_	3	nsubj	_	_	_
3	is	be	VBZ	_	4	quantmod	_	_	_
4	1	0	CD	_	5	nummod	_	_	_
5	tablespoon	tablespoon	NN	p2=NNS	0	root	_	_	_
6	of	of	IN	_	5	prep	_	_	_
7	water	water	NN	_	6	pobj	_	_	_

1	This	this	DT	_	2	det	_	_	O
2	tablespoon	tablespoon	NN	_	3	nsubj	_	_	O
3	has	have	VBZ	_	0	root	_	_	O
4	a	a	DT	_	5	det	_	_	O
5	capacity	capacity	NN	_	3	dobj	_	_	O
6	of	of	IN	_	5	prep	_	_	O
7	about	about	RB	_	8	advmod	_	_	B-ANS
8	15	0	CD	_	9	nummod	_	_	I-ANS
9	mL	ml	NN	p2=.	6	pobj	_	_	L-ANS

1	how	how	WRB	_	2	advmod	_	_	_
2	much	much	JJ	_	3	nsubj	_	_	_
3	is	be	VBZ	_	4	quantmod	_	_	_
4	1	0	CD	_	5	nummod	_	_	_
5	tablespoon	tablespoon	NN	p2=NNS	0	root	_	_	_
6	of	of	IN	_	5	prep	_	_	_
7	water	water	NN	_	6	pobj	_	_	_

1	In	in	IN	_	10	prep	_	_	O
2	the	the	DT	_	3	det	_	_	O
3	USA	usa	NNP	_	25	nsubj	_	_	O
4	one	#crd#	CD	p2=NN	5	nummod	_	_	O
5	tablespoon	tablespoon	NN	p2=FW	10	nsubj	_	_	O
6	(	(	-LRB-	_	8	punct	_	_	O
7	measurement	measurement	NN	_	8	compound	_	_	O
8	unit	unit	NN	_	5	appos	_	_	O
9	)	)	-RRB-	_	8	punct	_	_	O
10	is	be	VBZ	_	25	ccomp	_	_	O
11	approximately	approximately	RB	_	12	advmod	_	_	B-ANS
12	15	0	CD	_	13	nummod	_	_	I-ANS
13	mL	ml	NN	p2=NNP	10	attr	_	_	L-ANS
14	;	;	:	_	25	punct	_	_	O
15	the	the	DT	_	16	det	_	_	O
16	capacity	capacity	NN	_	25	nsubj	_	_	O
17	of	of	IN	_	16	prep	_	_	O
18	an	an	DT	_	20	det	_	_	O
19	actual	actual	JJ	_	20	amod	_	_	O
20	tablespoon	tablespoon	NN	_	17	pobj	_	_	O
21	(	(	-LRB-	_	23	punct	_	_	O
22	dining	dining	NN	p2=VBG	23	compound	_	_	O
23	utensil	utensil	NN	p2=FW	20	appos	_	_	O
24	)	)	-RRB-	_	23	punct	_	_	O
25	ranges	range	VBZ	_	0	root	_	_	O
26	from	from	IN	_	25	prep	_	_	O
27	7	0	CD	_	28	nummod	_	_	O
28	mL	ml	NN	p2=NNP	26	pobj	_	_	O
29	to	to	IN	p2=TO	26	prep	_	_	O
30	14	0	CD	_	29	pobj	_	_	O
31	mL.	ml.	.	p2=NNP	25	punct	_	_	O

1	how	how	WRB	_	2	advmod	_	_	_
2	much	much	JJ	_	3	nsubj	_	_	_
3	is	be	VBZ	_	4	quantmod	_	_	_
4	1	0	CD	_	5	nummod	_	_	_
5	tablespoon	tablespoon	NN	p2=NNS	0	root	_	_	_
6	of	of	IN	_	5	prep	_	_	_
7	water	water	NN	_	6	pobj	_	_	_

1	In	in	IN	_	9	prep	_	_	O
2	Australia	australia	NNP	_	1	pobj	_	_	O
3	one	#crd#	CD	p2=NN	4	nummod	_	_	O
4	tablespoon	tablespoon	NN	p2=FW	9	nsubj	_	_	O
5	(	(	-LRB-	_	7	punct	_	_	O
6	measurement	measurement	NN	_	7	compound	_	_	O
7	unit	unit	NN	_	4	appos	_	_	O
8	)	)	-RRB-	_	7	punct	_	_	O
9	is	be	VBZ	_	0	root	_	_	O
10	20	0	CD	_	11	nummod	_	_	B-ANS
11	mL	ml	NNP	p2=NN	9	attr	_	_	L-ANS

1	how	how	WRB	_	2	advmod	_	_	_
2	much	much	JJ	_	3	attr	_	_	_
3	are	be	VBP	p2=VBZ	0	root	_	_	_
4	the	the	DT	_	7	det	_	_	_
5	harry	harry	JJ	p2=NN	7	amod	_	_	_
6	potter	potter	NN	_	7	compound	_	_	_
7	movies	movie	NNS	_	3	nsubj	_	_	_
8	worth	worth	JJ	p2=NN	3	acomp	_	_	_

1	The	the	DT	_	2	det	_	_	O
2	series	series	NN	_	4	nsubj	_	_	O
3	also	also	RB	_	4	advmod	_	_	O
4	originated	originate	VBD	_	0	root	_	_	O
5	much	much	JJ	p2=RB	8	advmod	_	_	O
6	tie	tie	NN	p2=VB	9	amod	_	_	O
7	-	-	HYPH	p2=:	8	punct	_	_	O
8	in	in	RP	p2=NN	9	amod	_	_	O
9	merchandise	merchandise	NN	_	4	dobj	_	_	O
10	,	,	,	_	4	punct	_	_	O
11	making	make	VBG	_	4	advcl	_	_	O
12	the	the	DT	_	15	det	_	_	O
13	Harry	harry	NNP	_	14	compound	_	_	O
14	Potter	potter	NNP	_	15	compound	_	_	O
15	brand	brand	NN	_	16	nsubj	_	_	O
16	worth	worth	JJ	p2=NN	11	ccomp	_	_	O
17	in	in	IN	_	16	prep	_	_	B-ANS
18	excess	excess	NN	_	17	pobj	_	_	I-ANS
19	of	of	IN	_	18	prep	_	_	I-ANS
20	$	$	$	_	22	quantmod	_	_	I-ANS
21	15	0	CD	_	22	compound	_	_	I-ANS
22	billion	#crd#	CD	_	19	pobj	_	_	L-ANS
23	.	.	.	_	4	punct	_	_	O

1	how	how	WRB	_	5	advmod	_	_	_
2	a	a	DT	_	4	det	_	_	_
3	rocket	rocket	NN	_	4	compound	_	_	_
4	engine	engine	NN	_	5	nsubj	_	_	_
5	works	work	VBZ	p2=NNS	0	root	_	_	_

1	A	a	DT	_	3	det	_	_	O
2	rocket	rocket	NN	_	3	compound	_	_	O
3	engine	engine	NN	_	11	nsubj	_	_	O
4	,	,	,	_	3	punct	_	_	O
5	or	or	CC	_	3	cc	_	_	O
6	simply	simply	RB	_	8	advmod	_	_	O
7	"	"	``	_	8	punct	_	_	O
8	rocket	rocket	NN	_	3	conj	_	_	O
9	"	"	''	_	8	punct	_	_	O
10	,	,	,	_	11	punct	_	_	O
11	is	be	VBZ	_	0	root	_	_	O
12	a	a	DT	_	14	det	_	_	O
13	jet	jet	NN	_	14	compound	_	_	O
14	engine	engine	NN	_	11	attr	_	_	O
15	that	that	WDT	_	16	nsubj	_	_	O
16	uses	use	VBZ	_	14	relcl	_	_	O
17	only	only	RB	_	18	advmod	_	_	O
18	stored	store	VBN	p2=JJ	20	amod	_	_	B-ANS
19	propellant	propellant	NN	p2=JJ	20	compound	_	_	L-ANS
20	mass	mass	NN	_	16	dobj	_	_	O
21	for	for	IN	_	16	prep	_	_	O
22	forming	form	VBG	_	21	pcomp	_	_	O
23	its	its	PRP$	_	27	poss	_	_	O
24	high	high	JJ	_	25	amod	_	_	O
25	speed	speed	NN	_	27	compound	_	_	O
26	propulsive	propulsive	NN	p2=JJ	27	compound	_	_	O
27	jet	jet	NN	_	22	dobj	_	_	O
28	.	.	.	_	11	punct	_	_	O

1	how	how	WRB	_	6	advmod	_	_	_
2	are	be	VBP	_	6	auxpass	_	_	_
3	cholera	cholera	NNP	p2=NN	6	nsubjpass	_	_	_
4	and	and	CC	_	3	cc	_	_	_
5	typhus	typhus	NNS	p2=NNP	3	conj	_	_	_
6	transmitted	transmit	VBN	p2=VBD	0	root	_	_	_
7	and	and	CC	_	6	cc	_	_	_
8	prevented	prevent	VBN	_	6	conj	_	_	_

1	Transmission	transmission	NN	p2=NNP	2	nsubj	_	_	O
2	occurs	occur	VBZ	_	0	root	_	_	O
